Date/Time,Lat,Long,Elv,Speed,Gids,SOC,AHr,Pack Volts,Pack Amps,Max CP mV,Min CP mV,Avg CP mV,CP mV Diff,Judgment Value,Pack T1 F,Pack T1 C,Pack T2 F,Pack T2 C,Pack T3 F,Pack T3 C,Pack T4 F,Pack T4 C,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP18,CP19,CP20,CP21,CP22,CP23,CP24,CP25,CP26,CP27,CP28,CP29,CP30,CP31,CP32,CP33,CP34,CP35,CP36,CP37,CP38,CP39,CP40,CP41,CP42,CP43,CP44,CP45,CP46,CP47,CP48,CP49,CP50,CP51,CP52,CP53,CP54,CP55,CP56,CP57,CP58,CP59,CP60,CP61,CP62,CP63,CP64,CP65,CP66,CP67,CP68,CP69,CP70,CP71,CP72,CP73,CP74,CP75,CP76,CP77,CP78,CP79,CP80,CP81,CP82,CP83,CP84,CP85,CP86,CP87,CP88,CP89,CP90,CP91,CP92,CP93,CP94,CP95,CP96,12v Bat Amps,VIN,Hx,12v Bat Volts,Odo(km),QC,L1/L2,TP-FL,TP-FR,TP-RR,TP-RL,Ambient,SOH,RegenWh,BLevel,epoch time,Motor Pwr(w),Aux Pwr(100w),A/C Pwr(250w),A/C Comp(0.1MPa),Est Pwr A/C(50w),Est Pwr Htr(250w),Plug State,Charge Mode,OBC Out Pwr,Gear,HVolt1,HVolt2,GPS Status,Power SW,BMS,OBC,Debug,Motor Temp,Inverter 2 Temp,Inverter 4 Temp, Speed1, Speed2,Wiper Status,Torque Nm,RPM,Debug
31/01/2026 1:55:29,-40 58.57712,174 57.78208,6,0.0,590,973000,1370000,403.98,0.342,4218,4199,4208,19,0,74.7,23.7,77.9,25.5,none,none,73.6,23.1,4213,4208,4204,4217,-4199,-4204,-4208,-4204,4208,4208,4208,4209,4208,4208,4209,4213,4208,4204,4213,4209,4208,4204,4209,4213,4213,4208,4213,4213,4213,4208,4209,4217,4209,4209,4204,4213,4213,4204,4208,4218,4204,4204,4213,4213,4213,4209,4209,4208,4209,4204,4209,4213,4209,4208,4208,4209,4204,4208,4204,4209,4208,4204,4204,4213,4204,4199,4213,4208,4204,4204,4204,4209,4209,4204,4200,4213,4204,4209,4204,4213,4209,4204,4204,4208,4213,4204,4204,4209,4209,4204,4204,4209,4204,4209,4204,4213,na,VME0-500837,97.66,12.16,57004,683,1873,0,0,0,0,13.5,100.00,-312440,59,1769777729.689,0,0,0,0,0,0,2,0,0,1,403.98,403.98,13037F,1,1,1,0081,61,40,40,0,0,00,0.00,0,0
31/01/2026 1:55:37,-40 58.57091,174 57.77866,27,0.0,590,973000,1370000,403.88,-0.619,4217,4198,4207,19,0,74.7,23.7,78.1,25.6,none,none,73.9,23.3,4217,4207,4208,4216,-4198,-4208,-4207,-4207,-4207,-4207,-4207,-4208,-4207,-4207,-4208,-4208,-4207,-4203,-4212,-4208,-4207,-4203,-4208,-4212,-4212,-4207,-4212,-4212,-4212,-4207,-4208,-4216,-4208,-4208,-4203,-4207,-4212,-4203,-4207,-4212,-4203,-4203,-4212,-4212,-4212,-4208,-4208,-4203,4208,4203,4203,4216,4208,4207,4207,4208,4203,4207,4203,4208,4203,4203,4203,4212,4203,4198,4212,4207,4203,4203,4203,4208,4208,4203,4199,4212,4203,4208,4203,4212,4208,4203,4203,4207,4212,4203,4203,4208,4203,4203,4203,4212,4203,4208,4203,4212,na,VME0-500837,97.66,11.92,57004,683,1873,0,0,0,0,13.5,100.00,-312440,59,1769777737.029,0,1,0,0,0,0,2,0,0,1,403.88,403.88,19087F,1,1,1,0080,61,40,40,0,0,00,0.00,0,0
31/01/2026 1:55:40,-40 58.57091,174 57.77866,27,0.0,590,973000,1370000,403.88,0.342,4217,4198,4207,19,0,74.7,23.7,78.1,25.6,none,none,73.9,23.3,4217,4207,4208,4216,-4198,-4208,-4207,-4207,-4207,-4207,-4207,-4208,-4207,-4207,-4208,-4208,-4207,-4203,-4212,-4208,-4207,-4203,-4208,-4212,-4212,-4207,-4212,-4212,-4212,-4207,-4208,-4216,-4208,-4208,-4203,-4207,-4212,-4203,-4207,-4212,-4203,-4203,-4212,-4212,-4212,-4208,-4208,-4203,4208,4203,4203,4216,4208,4207,4207,4208,4203,4207,4203,4208,4203,4203,4203,4212,4203,4198,4212,4207,4203,4203,4203,4208,4208,4203,4199,4212,4203,4208,4203,4212,4208,4203,4203,4207,4212,4203,4203,4208,4203,4203,4203,4212,4203,4208,4203,4212,na,VME0-500837,97.66,12.16,57004,683,1873,0,0,0,0,13.5,100.00,-312440,59,1769777740.655,0,0,0,0,0,0,2,0,0,1,403.88,403.88,190877,0,1,1,0001,61,40,40,0,0,00,0.00,0,0
31/01/2026 1:55:45,-40 58.57091,174 57.77866,27,0.0,590,973001,1370000,403.5,-0.5,4217,4198,4207,19,0,74.7,23.7,78.1,25.6,none,none,73.9,23.3,4217,4207,4208,4216,-4198,-4208,-4207,-4207,-4207,-4207,-4207,-4208,-4207,-4207,-4208,-4208,-4207,-4203,-4212,-4208,-4207,-4203,-4208,-4212,-4212,-4207,-4212,-4212,-4212,-4207,-4208,-4216,-4208,-4208,-4203,-4207,-4212,-4203,-4207,-4212,-4203,-4203,-4212,-4212,-4212,-4208,-4208,-4203,4208,4203,4203,4216,4208,4207,4207,4208,4203,4207,4203,4208,4203,4203,4203,4212,4203,4198,4212,4207,4203,4203,4203,4208,4208,4203,4199,4212,4203,4208,4203,4212,4208,4203,4203,4207,4212,4203,4203,4208,4203,4203,4203,4212,4203,4208,4203,4212,na,VME0-500837,97.66,12.24,57004,683,1873,0,0,0,0,13.5,100.00,-312440,59,1769777745.679,0,0,0,0,0,0,2,0,0,1,403.88,403.50,190877,0,0,1,0001,61,40,40,0,0,00,0.00,0,0
31/01/2026 4:28:35,-40 58.57091,174 57.77866,27,0.0,0,973000,1370000,403.85,-0.648,4216,4198,4206,18,0,70.9,21.6,74.1,23.4,none,none,70.2,21.2,4212,4207,4203,4216,-4198,-4203,-4207,-4207,4207,4207,4203,4203,4212,4203,4208,4208,4203,4203,4212,4208,4207,4203,4208,4212,4212,4207,4212,4212,4212,4207,4208,4212,4208,4208,4203,4207,4212,4203,4207,4212,4203,4203,4212,4212,4212,4208,4208,4203,4208,4203,4203,4212,4208,4207,4207,4208,4203,4203,4203,4208,4203,4203,4203,4212,4203,4198,4212,4207,4203,4203,4203,4208,4208,4203,4199,4212,4203,4208,4203,4207,4208,4203,4203,4203,4212,4203,4203,4208,4203,4203,4203,4208,4203,4208,4203,4212,na,VME0-500837,97.66,12.08,0,683,1873,0,0,0,0,12.5,100.00,-312440,52,1769786915.344,0,0,0,0,0,0,2,0,0,1,403.85,403.85,190877,0,1,1,0001,57,40,40,0,0,00,0.00,0,1
31/01/2026 4:28:41,-40 58.57091,174 57.77866,27,0.0,590,973000,1370000,403.85,-0.942,4217,4198,4206,19,0,70.9,21.6,74.3,23.5,none,none,70.3,21.3,4217,4207,4203,4216,-4198,-4203,-4207,-4207,-4207,-4207,-4203,-4208,-4207,-4207,-4208,-4208,-4203,-4203,-4212,-4208,-4207,-4203,-4208,-4212,-4212,-4207,-4212,-4212,4212,4207,4208,4212,4208,4208,4203,4207,4212,4203,4207,4212,4203,4203,4212,4212,4212,4208,4208,4207,4208,4203,4208,4212,4208,4207,4207,4208,4203,4203,4203,4208,4203,4203,4203,4212,4203,4198,4212,4207,4203,4203,4203,4208,4208,4203,4199,4212,4203,4208,4203,4207,4208,4203,4203,4203,4212,4207,4203,4208,4203,4203,4203,4212,4203,4208,4203,4208,na,VME0-500837,97.66,11.84,57004,683,1873,0,0,0,0,12.5,100.00,-312440,52,1769786921.224,0,1,0,0,0,0,2,0,0,1,403.85,403.85,19087F,1,1,1,0080,57,40,40,0,0,00,0.00,0,1
31/01/2026 4:28:48,-40 58.57091,174 57.77866,27,0.0,590,973000,1370000,403.91,0.573,4216,4198,4206,18,0,70.9,21.6,74.3,23.5,none,none,70.3,21.3,4212,4207,4203,4216,-4198,-4203,-4207,-4207,-4207,-4207,-4207,-4208,-4207,-4207,-4208,-4208,-4203,-4203,-4212,-4208,-4207,-4203,-4208,-4212,-4212,-4207,-4212,-4212,-4212,-4207,-4208,-4212,-4208,-4208,-4203,-4207,-4212,-4203,-4207,-4212,-4203,-4203,-4212,-4212,-4212,-4208,-4208,-4203,-4208,-4203,-4208,-4212,-4208,-4207,-4207,-4208,-4203,-4203,-4203,-4208,-4203,-4203,-4203,-4212,-4198,4207,-4208,-4207,4203,4203,4203,4203,4208,4203,4199,4212,4203,4208,4203,4207,4208,4203,4203,4203,4213,4204,4204,4209,4204,4204,4204,4209,4204,4209,4204,4213,na,VME0-500837,97.66,11.76,57004,683,1873,0,0,0,0,12.5,100.00,-312440,52,1769786928.727,0,1,0,0,0,0,2,0,0,1,403.91,403.91,19087F,1,1,1,0080,57,40,40,0,0,00,0.00,0,0
31/01/2026 4:28:53,-40 58.57091,174 57.77866,27,0.0,590,973000,1370000,403.83,-0.982,4212,4198,4206,14,0,71.1,21.7,74.3,23.5,none,none,70.3,21.3,-4208,-4207,-4203,-4212,-4203,-4203,-4207,-4207,-4207,-4207,-4203,-4208,-4207,-4207,-4208,-4208,-4203,-4203,-4212,-4208,-4207,-4203,-4208,-4212,-4212,-4207,-4212,-4212,-4212,-4207,-4208,-4212,-4208,-4208,-4203,-4207,-4212,-4203,-4207,-4212,-4203,-4203,-4212,-4212,-4212,-4208,-4208,-4203,-4203,-4203,-4208,-4212,-4208,-4207,-4207,-4208,-4203,-4207,-4203,-4208,-4203,-4203,-4203,-4212,-4198,4207,-4208,-4207,-4203,-4203,-4203,-4208,-4208,-4203,-4199,-4212,-4203,-4208,-4203,-4207,-4208,-4203,-4203,-4203,-4212,-4203,-4203,-4208,-4203,-4203,-4203,-4208,-4203,-4208,-4203,-4208,na,VME0-500837,97.66,12.00,57004,683,1873,0,0,0,0,12.5,100.00,-312440,52,1769786933.010,0,0,0,0,0,0,2,0,0,1,403.83,403.83,190877,0,1,1,0000,57,40,40,0,0,00,0.00,0,0
31/01/2026 4:28:57,-40 58.57091,174 57.77866,27,0.0,590,973000,1370000,403.82,-0.481,4213,4198,4207,15,0,70.9,21.6,74.3,23.5,none,none,70.3,21.3,-4209,-4208,-4204,-4213,-4204,-4204,-4208,-4208,-4208,-4208,-4204,-4209,-4208,-4208,-4209,-4209,-4208,-4204,-4213,-4209,-4208,-4204,-4209,-4213,-4213,-4208,-4213,-4213,-4213,-4208,-4209,-4213,-4209,-4209,-4204,-4208,-4213,-4204,-4208,-4213,-4204,-4204,-4208,-4213,-4213,-4209,-4209,-4204,-4204,-4204,-4209,-4213,-4209,-4208,-4208,-4209,-4203,-4207,-4203,-4208,-4203,-4203,-4203,-4212,-4198,4207,-4208,-4207,-4203,-4203,-4203,-4208,-4208,-4203,-4199,-4212,-4203,-4208,-4203,-4207,-4208,-4203,-4203,-4203,-4212,-4203,-4203,-4208,-4203,-4203,-4203,-4208,-4203,-4208,-4203,-4208,na,VME0-500837,97.66,12.00,57004,683,1873,0,0,0,0,12.5,100.00,-312440,52,1769786937.188,0,0,0,0,0,0,2,0,0,1,403.82,403.82,190877,0,1,1,0000,57,40,40,0,0,00,0.00,0,0
31/01/2026 4:29:02,-40 58.57091,174 57.77866,27,0.0,590,973001,1370000,403.5,-0.0,4213,4198,4207,15,0,70.9,21.6,74.3,23.5,none,none,70.3,21.3,-4209,-4208,-4204,-4213,-4204,-4204,-4208,-4208,-4208,-4208,-4204,-4209,-4208,-4208,-4209,-4209,-4208,-4204,-4213,-4209,-4208,-4204,-4209,-4213,-4213,-4208,-4213,-4213,-4213,-4208,-4209,-4213,-4209,-4209,-4204,-4208,-4213,-4204,-4208,-4213,-4204,-4204,-4208,-4213,-4213,-4209,-4209,-4204,-4204,-4204,-4209,-4213,-4209,-4208,-4208,-4209,-4203,-4207,-4203,-4208,-4203,-4203,-4203,-4212,-4198,4207,-4208,-4207,-4203,-4203,-4203,-4208,-4208,-4203,-4199,-4212,-4203,-4208,-4203,-4207,-4208,-4203,-4203,-4203,-4212,-4203,-4203,-4208,-4203,-4203,-4203,-4208,-4203,-4208,-4203,-4208,na,VME0-500837,97.66,12.08,57004,683,1873,0,0,0,0,12.5,100.00,-312440,52,1769786942.294,0,0,0,0,0,0,2,0,0,1,403.82,403.50,190877,0,0,1,0001,57,40,40,0,0,00,0.00,0,1
